#;name;price;24h;7d;30d;market
1;Bitcoin1BTC;R$105,014.75;7.70%;4.57%;16.91%;R$2,011,030,391,566
2;Reef2REEF;R$0.02927;7.91%;58.41%;23.67%;R$585,720,356
3;Shiba Inu3SHIB;R$0.00006302;3.83%;0.94%;28.39%;R$34,600,241,532
4;PancakeSwap4CAKE;R$21.54;4.11%;2.99%;3.10%;R$3,009,383,765
5;Ethereum5ETH;R$8,260.50;5.14%;1.49%;18.04%;R$1,010,730,681,851
6;Ethereum Classic6ETC;R$185.03;6.00%;2.95%;14.48%;R$25,322,706,075
7;Loom Network7LOOM;R$0.4149;12.58%;78.95%;47.22%;R$539,344,531
8;Ravencoin8RVN;R$0.3091;13.72%;54.08%;60.45%;R$3,237,110,056
9;Cosmos9ATOM;R$73.47;6.81%;15.93%;21.15%;R$21,040,636,359
10;Solana10SOL;R$173.94;8.62%;5.23%;26.18%;R$61,471,578,693
11;Cardano11ADA;R$2.43;5.40%;1.99%;18.22%;R$83,080,973,366
12;BNB12BNB;R$1,442.65;3.12%;2.45%;13.11%;R$232,753,026,976
13;Tribe13TRIBE;R$1.19;1.53%;20.33%;52.01%;R$539,137,458
14;Polygon14MATIC;R$4.42;6.40%;0.51%;15.24%;R$38,612,508,806
15;WETH15WETH;R$8,252.13;5.31%;1.54%;18.03%;--
16;TerraClassicUSD16USTC;R$0.2366;6.81%;4.10%;58.35%;R$2,322,052,943
17;Litecoin17LTC;R$306.87;1.44%;5.33%;6.88%;R$21,837,663,045
18;Decentraland18MANA;R$3.83;5.49%;2.81%;31.28%;R$7,099,341,427
19;Stellar19XLM;R$0.5461;5.96%;2.29%;16.49%;R$13,843,466,159
20;IOST20IOST;R$0.06618;3.01%;1.36%;19.53%;R$1,230,242,515
21;Bluzelle21BLZ;R$0.4284;5.24%;3.74%;16.42%;R$146,077,800
22;Golem22GLM;R$1.80;11.39%;51.29%;20.79%;R$1,799,300,253
23;Terra23LUNA;R$21.70;1.58%;121.65%;104.82%;R$2,765,725,175
24;SKALE Network24SKL;R$0.2312;7.77%;4.95%;33.72%;R$856,631,914
25;KuCoin Token25KCS;R$48.10;3.40%;0.52%;13.11%;R$4,731,607,238
26;Terra Classic26LUNC;R$0.001875;12.27%;11.24%;259.74%;R$11,533,618,456
27;JUST27JST;R$0.1365;5.08%;0.92%;23.22%;R$1,215,109,763
28;OMG Network28OMG;R$9.33;6.75%;3.12%;22.97%;R$1,309,021,773
29;Moonbeam29GLMR;R$2.70;6.55%;5.38%;25.89%;R$1,049,930,968
30;IOTA30MIOTA;R$1.40;5.51%;0.71%;22.16%;R$3,902,101,907
